metric,projector,instance,precision,recall,f1
test_location-structure/macro_types,classifier_adapter_bert_ms,0,0.06444444507360458,0.6000000238418579,0.11638797074556352
test_location-transit-road/macro_types,classifier_adapter_bert_ms,0,0.4375,1.0,0.6086956262588501
test_organization-government/macro_types,classifier_adapter_bert_ms,0,0.25,0.004115226212888956,0.008097166195511818
test_other-religion/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-athlete/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-sports_facility/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-stock_exchange/macro_types,classifier_adapter_bert_ms,0,0.2631579041481018,0.4545454680919647,0.3333333432674408
test_other-language-programming_language/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-protest/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-geography-island/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-sports_event/macro_types,classifier_adapter_bert_ms,0,1.0,1,1.0
test_other-event-election/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-health-treatment/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-country/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-geography/macro_types,classifier_adapter_bert_ms,0,0.12807881832122803,0.4193548262119293,0.19622643291950223
test_organization-company-news/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location/macro_types,classifier_adapter_bert_ms,0,0.34477499127388,0.886274516582489,0.49643054604530334
test_location-structure-hospital/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-sports_team/macro_types,classifier_adapter_bert_ms,0,1.0,0.5,0.6666666865348816
test_location-structure-restaurant/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test/micro,classifier_adapter_bert_ms,0,0.571899950504303,0.49174943566322327,0.5288048386573792
test_other-product-car/macro_types,classifier_adapter_bert_ms,0,0.3103448152542114,0.375,0.3396226465702057
test_location-city/macro_types,classifier_adapter_bert_ms,0,1.0,0.04435483738780022,0.08494208753108978
test_other-art-film/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-military/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-computer/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-body_part/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-award/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
